IDBASE,X,Y
1, 48.8656324364, 2.35158335297
2, 48.869484746, 2.33818912836
3, 48.8692861639, 2.35401426618
4, 48.8695510401, 2.33879837759
5, 48.8683043378, 2.35356664922
6, 48.8708235641, 2.33385630111
7, 48.8699184238, 2.32852119069
8, 48.8636169503, 2.35094116682
9, 48.8654447141, 2.35156965876
10, 48.8699410177, 2.35105637468
11, 48.8642407756, 2.34817005439
12, 48.8716804038, 2.33881842311
13, 48.8702351051, 2.33038104108
14, 48.8651514807, 2.34854360071
15, 48.8669622851, 2.34411939033
16, 48.8646388677, 2.35111706617
17, 48.8680134748, 2.33395583131
18, 48.8675280997, 2.34969877411
19, 48.8706977879, 2.33311762258
20, 48.8715209409, 2.34231170011
21, 48.8642425381, 2.3511507239
22, 48.8668751192, 2.34393040303
23, 48.8700756538, 2.34970345107
24, 48.8715467908, 2.33805075434
25, 48.8647256363, 2.34662074449
26, 48.8714690925, 2.33762729861
27, 48.8707464532, 2.34701895576
28, 48.8669719277, 2.34869310265
29, 48.8672339782, 2.3495745631
30, 48.8661158787, 2.34501150726
31, 48.8666478388, 2.35029454598
32, 48.8705197019, 2.34264014976
33, 48.8681509732, 2.33809753292
34, 48.8707748691, 2.33355980522
35, 48.8667792793, 2.3527065435
36, 48.8678312277, 2.33780777942
37, 48.865491213, 2.34359500386
38, 48.8706740309, 2.33296170593
39, 48.8666123667, 2.35261277141
40, 48.8693970571, 2.34523307349
41, 48.8666803263, 2.3501344561
42, 48.8682654893, 2.33815657833
43, 48.868144591, 2.33746741758
44, 48.8703831781, 2.33124581142
45, 48.8661829761, 2.35198306933
46, 48.8647351781, 2.34593411778
47, 48.8680484927, 2.35342173641
48, 48.8699741273, 2.35090302929
49, 48.8644672443, 2.34824684161
50, 48.8669469054, 2.34881493137
51, 48.8647282522, 2.34641629451
52, 48.8702947506, 2.3493823058
53, 48.8693997244, 2.3380724222
54, 48.8703399172, 2.33915856594
55, 48.8659720143, 2.35186629296
56, 48.8712013601, 2.33603998671
57, 48.8701711642, 2.34996844041
58, 48.8671810603, 2.34999825466
59, 48.8684846313, 2.35034968221
60, 48.8711483013, 2.34462231306
61, 48.8708508415, 2.34640467801
62, 48.8698262278, 2.34992477117
63, 48.8669725102, 2.34395029248
64, 48.8700748734, 2.32945324373
65, 48.8672319727, 2.35042409953
66, 48.8679523681, 2.34752640739
67, 48.865129029, 2.35178765792
68, 48.8718245537, 2.33966789836
69, 48.8653522861, 2.35191125851
70, 48.8637080369, 2.3509927301
71, 48.8671508407, 2.35016025363
72, 48.8679265534, 2.33458968596
73, 48.8651644806, 2.35095450605
74, 48.8702642423, 2.34953735202
75, 48.8707621501, 2.33348994863
76, 48.8704985973, 2.34842214009
77, 48.8694277464, 2.34893668576
78, 48.8670424354, 2.34833275759
79, 48.8680541999, 2.33465973423
80, 48.865599427, 2.3520493398
81, 48.8671712869, 2.35048575077
82, 48.8666403754, 2.34506890089
83, 48.8701003866, 2.32960234527
84, 48.8670740596, 2.34397081125
85, 48.8647184446, 2.3460729733
86, 48.870422752, 2.3487816759
87, 48.86948476, 2.33838523462
88, 48.8712914971, 2.33658101564
89, 48.8670633103, 2.34823223268
90, 48.8706882314, 2.33303754184
91, 48.86379201, 2.35104271917
92, 48.8649935075, 2.34916121623
93, 48.8672008291, 2.34989084614
94, 48.8675945307, 2.35316684637
95, 48.8650072316, 2.34909673127
96, 48.8667967999, 2.34408548544
97, 48.8674928068, 2.34381240747
98, 48.8717808373, 2.3394772864
99, 48.8681300503, 2.34845738331
100, 48.8704091101, 2.33138979695
101, 48.8676789184, 2.34976811964
102, 48.8646071295, 2.34822062314
103, 48.86837209, 2.35024572098
104, 48.8694089238, 2.34837821336
105, 48.8699490738, 2.33897151975
106, 48.8671629862, 2.34775707986
107, 48.871214354, 2.33611753008
108, 48.8668714617, 2.3491790992
109, 48.8681103245, 2.33755812679
110, 48.8704082703, 2.34885067598
111, 48.8713302722, 2.33680255189
112, 48.8708250431, 2.34654865309
113, 48.8704537452, 2.34862832681
114, 48.8654617842, 2.34277359104
115, 48.8706360891, 2.34770564251
116, 48.8711871678, 2.34438035386
117, 48.867880332, 2.33456467495
118, 48.8701610833, 2.34249979893
119, 48.8656187977, 2.34310720858
120, 48.8700074702, 2.32906049004
121, 48.8677372847, 2.33523187882
122, 48.8677867918, 2.33451462618
123, 48.8653750071, 2.34491279178
124, 48.8698979492, 2.35002395443
125, 48.8716629041, 2.34144520393
126, 48.8645337796, 2.35105740192
127, 48.8702441371, 2.34962084548
128, 48.8711227882, 2.34476545466
129, 48.8650595475, 2.34504819394
130, 48.8713178373, 2.33672842299
131, 48.871241123, 2.33626918507
132, 48.8680845952, 2.33740070057
133, 48.8673905131, 2.3438447637
134, 48.8718130762, 2.34051907599
135, 48.8679046673, 2.33737862833
136, 48.8713163561, 2.34361696054
137, 48.8704372176, 2.33156103427
138, 48.8710402555, 2.33511385695
139, 48.8680804005, 2.33771200744
140, 48.8659409837, 2.35224112974
141, 48.8670845362, 2.34813340731
142, 48.870087735, 2.32952565959
143, 48.8655188442, 2.35200586204
144, 48.8708000226, 2.33371146468
145, 48.8710822296, 2.34500401263
146, 48.8709497579, 2.33459328732
147, 48.8710462499, 2.34522808884
148, 48.8664631632, 2.34444695127
149, 48.8701212585, 2.35019677274
150, 48.8684335641, 2.35030281014
151, 48.8694829779, 2.33858676223
152, 48.8695917737, 2.33881835053
153, 48.8670519417, 2.3524787038
154, 48.8658660136, 2.35180576459
155, 48.8669923483, 2.34400747444
156, 48.8659305278, 2.34627059084
157, 48.865458401, 2.34487786847
158, 48.870047319, 2.32929136736
159, 48.8702141847, 2.34976737755
160, 48.8668164122, 2.3523505872
161, 48.869930091, 2.32859701608
162, 48.8716237209, 2.33850147396
163, 48.8698222396, 2.35000515888
164, 48.8672402846, 2.3502007839
165, 48.871064352, 2.33525529293
166, 48.8669464035, 2.35280286276
167, 48.8711623622, 2.3445294581
168, 48.8711752898, 2.3444595892
169, 48.8674984902, 2.33500670971
170, 48.868128415, 2.33735752846
171, 48.8671836637, 2.34774581987
172, 48.867226896, 2.35042161364
173, 48.8672339726, 2.34966456228
174, 48.8668977686, 2.3490585771
175, 48.8651731686, 2.35108228908
176, 48.8682210933, 2.35351976454
177, 48.8718361402, 2.33973691329
178, 48.8712240017, 2.34416309589
179, 48.8707126136, 2.33319430944
180, 48.8687154313, 2.34326548873
181, 48.8710802337, 2.33533453047
182, 48.8699414765, 2.3286643246
183, 48.8659436779, 2.34466752093
184, 48.8702694596, 2.33912376887
185, 48.8717184147, 2.34110099788
186, 48.8693954191, 2.35355678981
187, 48.8710953051, 2.34492988856
188, 48.8678510202, 2.33751162562
189, 48.8647372203, 2.34581740693
190, 48.8687715736, 2.35382665731
191, 48.8669161489, 2.34404064648
192, 48.8676239334, 2.33448295335
193, 48.8698957546, 2.35006531645
194, 48.8683138783, 2.33818175602
195, 48.8650321154, 2.34849160331
196, 48.8672953978, 2.34959837491
197, 48.8667708966, 2.34401616578
198, 48.8652984298, 2.34494600711
199, 48.8669341736, 2.35241735135
200, 48.8711100871, 2.33549726996
201, 48.8671979726, 2.35294351484
202, 48.8660774614, 2.35192425204
203, 48.8640557181, 2.3496431291
204, 48.8681387971, 2.35003801136
205, 48.8708883777, 2.34617207691
206, 48.870066156, 2.3294029825
207, 48.8642874018, 2.34817410564
